Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Law,Asst. General Counsel,,235186,15000,USD,,,United States of America,Massachusetts,Boston Metro,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,"Accounting, Banking & Finance",Communications Specialist,,60000,0,USD,,"60K gross, 35K net after taxes",United States of America,Illinois,Chicago,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Program Manager,,72000,0,USD,,,United States of America,Ohio,Columbus,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Law,Attorney,Insurance defense in house counsel,91898,2600,USD,,,United States of America,New Jersey,Princeton,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Man,"Hispanic, Latino, or Spanish origin"
35-44,Sales,Account executive,,130000,100000,USD,,,United States of America,Michigan,Ann Arbor,11-20 years,11-20 years,Master's degree,Woman,White
55-64,Engineering or Manufacturing,Vibration Engineer,I use vibration to evaluate the mechanical condition of rotating equipment.,133000,50000,USD,,,United States of America,Indiana,Terre Haute,31-40 years,21-30 years,College degree,Man,White
35-44,Business or Consulting,Director of Marketing,,120000,18000,USD,,,United States of America,Georgia,Atlanta,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Client Engagement Manager,,57000,0,USD,,,United States of America,Maryland,Annapolis,5-7 years,5-7 years,College degree,Woman,White
25-34,Social Work,Youth Program Counselor,"Case management for at risk adolescent teenagers in an after school program, run by the county court system.",70000,,USD,,,United States of America,Virginia,Arlington,8-10 years,8-10 years,Master's degree,Woman,Black or African American
25-34,Sales,Sales Manager,,75000,50000,USD,,,United States of America,Louisiana,New Orleans,5-7 years,5-7 years,College degree,Man,White
25-34,Clinical Research,Clinical Trial Manager,,126000,22000,USD,,,United States of America,Texas,Houston,8-10 years,5-7 years,Master's degree,Woman,Black or African American
35-44,Biotechnology,Senior Principal Scientist,,200000,,USD,,,United States of America,California,San Carlos,11-20 years,11-20 years,PhD,Woman,White
35-44,Nonprofits,Program Director,,84000,1100,USD,,,United States of America,California,Los Angeles,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Business or Consulting,"Manager, Project Management Office",,119000,15000,USD,,,United States of America,Minnesota,Medina,11-20 years,8-10 years,College degree,Woman,White
35-44,Property or Construction,Inside Sales,,37000,3000,USD,,,United States of America,Florida,Jacksonville,11-20 years,1 year or less,High School,Woman,White
25-34,Computing or Tech,Senior Product Manager - Technical,,128000,102000,USD,,,United States of America,Washington,Seattle,8-10 years,2-4 years,College degree,Woman,Asian or Asian American
25-34,Health care,Office Coordinator,,36500,0,USD,,,United States of America,Mississippi,Jackson,8-10 years,2-4 years,Some college,Woman,White
45-54,"Accounting, Banking & Finance",Senior Marketing Consultant,Unofficial title is Web Content Manager. I both manage and build and maintain web pages based on internal stakeholder requests.,63600,7000,USD,,,United States of America,Ohio,Cleveland,21-30 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accounting Associate (temp),,37000,0,USD,,,United States of America,Virginia,Charlottesville,8-10 years,1 year or less,College degree,Woman,White
25-34,Library,Circulation assistant,,35000,,USD,,,United States of America,Iowa,Iowa,11-20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Director of Marketing and Communications,,55000,0,USD,,,United States of America,Nevada,Las Vegas,5-7 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Executive Director,,70000,0,USD,,,United States of America,Oregon,La Grande,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Education (Primary/Secondary),Parent Liaison,,37400,0,USD,,,United States of America,Virginia,Aldie,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Technical Editor,,135000,0,USD,,,United States of America,New York,New York,11-20 years,8-10 years,Some college,Woman,White
25-34,Business or Consulting,Environmental Planner,"I work for an environmental engineering consultancy, but I handle zoning/permitting/urban planning issues, not engineering",62500,3000,USD,,"I live in a high COL state, my (middle class) salary qualifies me to apply for affordable housing in my county and neighboring ones. This role has an extremely varied salary elsewhere.",United States of America,New Jersey,Newark,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Recruitment or HR,Technical Recruiter,,120000,0,USD,,,United States of America,California,San Francisco,11-20 years,11-20 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
25-34,Law,Paralegal,,50000,,USD,,,United States of America,Illinois,Chicago,5-7 years,2-4 years,College degree,Woman,White
35-44,Computing or Tech,Software QA Manager,,95000,,USD,,,United States of America,Pennsylvania,Philadelphia,21-30 years,5-7 years,Master's degree,Woman,White
55-64,Education (Primary/Secondary),Teacher,,42000,500,USD,,,United States of America,Illinois,Nauvoo,11-20 years,11-20 years,College degree,Woman,White
25-34,Business or Consulting,Manager,,160000,15000,USD,,,United States of America,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Computing or Tech,Senior Software Engineer,,200000,,USD,,,United States of America,California,San Francisco,5-7 years,5-7 years,College degree,Man,White
25-34,Education (Higher Education),Research Assistant,PhD Candidate/Research Assistant,35500,,USD,,,United States of America,District of Columbia,Washington,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Education (Higher Education),Full-Time Instructor,,30000,12000,USD,,,United States of America,Florida,Orlando,8-10 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White"
35-44,Government and Public Administration,Writer-Editor,Internal communications and strategic messaging for internal audiences; not PR,72500,,USD,,"I am a us federal government employee with a set pay scale; in year one, I earn $72,500; in year 2, I will earn $87,200; in year 3 and beyond, I will earn $103,700.",United States of America,District of Columbia,Washington,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Nonprofits,Property Manager,Property Manager for Homeless Services Units,56160,150,USD,,,United States of America,California,Petaluma,5-7 years,1 year or less,College degree,Woman,White
25-34,Sales,Outside Sales,,90000,5000,USD,,,United States of America,Wisconsin,Milwaukee,8-10 years,8-10 years,College degree,Man,White
35-44,Education (Primary/Secondary),Audiologist,,96608,0,USD,,,United States of America,Maryland,Frederick,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Law,Staff Attorney,"Roughly equivalent to an Associate Attorney, but not on the partnership track.",74000,,USD,,,United States of America,Michigan,Grand Rapids,8-10 years,2-4 years,Master's degree,Non-binary,White
35-44,Computing or Tech,Corporate Counsel,Corporate & Securities,220000,0,USD,,"I also received stock options worth ~$60K when I joined, vesting over 4 years. They have doubled twice in value in the past 14 months. They are not liquid yet.",United States of America,California,San Francisco,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,Senior data engineer,,121000,15000,USD,,"Also have acquisition and merit retention bonuses that run out over the course of several years - this year I got $85,000, next year I get $100,000, year after that $70,000, next year $50,000, then $25,000.",United States of America,Pennsylvania,Pittsburgh,11-20 years,11-20 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Education (Higher Education),Assistant Director of Residence Life,,51000,,USD,,,United States of America,Georgia,Savannah,2-4 years,2-4 years,PhD,Woman,White
35-44,Computing or Tech,Mobile developer,,144600,2500,USD,,,United States of America,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
25-34,"Accounting, Banking & Finance",Senior Tax Accountant,,65000,10000,USD,,Overtime from tax season,United States of America,Washington,Port Orchard,5-7 years,2-4 years,College degree,Woman,White
35-44,Law,Staff Attorney,,65500,0,USD,,"Public interest, non-profit legal organization",United States of America,Massachusetts,Springfield,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,"Hispanic, Latino, or Spanish origin, White"
25-34,"Marketing, Advertising & PR",Project Manager,,75000,0,USD,,,United States of America,New York,New York,2-4 years,2-4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,R&D Scientist,,76475,1000,USD,,,United States of America,Minnesota,Minneapolis,11-20 years,11-20 years,College degree,Woman,White
25-34,Science,Postdoc,,50000,,USD,,,United States of America,Washington,Seattle,2-4 years,5-7 years,PhD,Woman,White
45-54,Nonprofits,Executive Director,,42000,0,USD,,,United States of America,Iowa,Des Moines,5-7 years,2-4 years,College degree,Woman,White
45-54,Nonprofits,Director of External Affairs,Communications and advocacy lead,72000,0,USD,,,United States of America,Washington,Bellevue,21-30 years,11-20 years,College degree,Man,White
35-44,Computing or Tech,Conversion Manager,Database conversion,125000,36000,USD,,,United States of America,California,Merced,11-20 years,5-7 years,High School,Other or prefer not to answer,"Native American or Alaska Native, White"
55-64,Education (Higher Education),Bioinformatics researcher,,81000,0,USD,,,United States of America,Wisconsin,Madison,21-30 years,21-30 years,College degree,Man,White
35-44,Education (Higher Education),Associate professor of clinical OT,,104000,,USD,,,United States of America,California,Los Angeles,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Academic Administrator,,54000,0,USD,,,United States of America,Massachusetts,Boston,11-20 years,11-20 years,College degree,Woman,White
35-44,Insurance,Producer,,48000,,USD,,,United States of America,Montana,Great Falls,11-20 years,11-20 years,Some college,Woman,White
25-34,Business or Consulting,Senior Consultant,,100000,9000,USD,,,United States of America,Florida,Orlando,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Health care,Shift Coordinator/Registered Nurse,"The role is fairly nebulous because it fits the needs of the unit or department. Essentially I am the assistant manager with all functions of a manager, but don't have authority over hiring decisions, termination decisions, and can't do significant disciplinary action where termination is a result. In my role I manage team member scheduling, attendance, quality and safety reporting, I create education for the team, I manage compliance with education, I also manage quality improvement and evidence based practice projects, I also teach classes for our team. This is all with the expectation that I work as a charge nurse for a set amount of my hours. For some they have a 2/3rds of their time is working floor and 1/3rd indirect. This is dependant on the manager of the unit and their needs for the role.",58320,0,USD,,,United States of America,Indiana,Indianapolis,11-20 years,5-7 years,College degree,Man,White
35-44,"Accounting, Banking & Finance",Universal Associate,,30000,2000,USD,,,United States of America,Ohio,Cardington,8-10 years,8-10 years,College degree,Woman,White
45-54,Business or Consulting,Consultant,"I work with nonprofits, mostly small ones, mostly social justice organizers, on issues related to technology and information systems.",90000,,USD,,I am self employed and income depends on client projects and so is variable. This is my estimate for this year.,United States of America,California,Oakland,21-30 years,11-20 years,Master's degree,Woman,"White, Another option not listed here or prefer not to answer"
18-24,Education (Primary/Secondary),Direct Support Professional,,33000,,USD,,,United States of America,New York,New York,2-4 years,2-4 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
35-44,Computing or Tech,Program Operations Analyst 1,"Sales order processing, contract review, external partners/vendors.",59363,3562,USD,,,United States of America,California,Los Angeles,21-30 years,8-10 years,Master's degree,Woman,White
65 or over,Law,Of Counsel,,200000,,USD,,,United States of America,California,San Francisco,31-40 years,11-20 years,Master's degree,Woman,White
25-34,Nonprofits,Information Systems and Technology Specialist,,59000,,USD,,,United States of America,Maryland,Baltimore,11-20 years,2-4 years,College degree,Non-binary,White
55-64,Environmental,Program manager,Environmental engineering services,131000,5000,USD,,,United States of America,Maryland,Hunt Valley,31-40 years,31-40 years,Master's degree,Man,White
25-34,Business or Consulting,Director of Operations,,170000,,USD,,,United States of America,Virginia,Fairfax,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Vice President,,99221,0,USD,,The standard hours of work are 7.5 hours a day (37.5 hours a week); however the salary has been converted to 8 hours a day/40 hours a week.,United States of America,Florida,Orlando,21-30 years,21-30 years,PhD,Woman,Black or African American
25-34,Health care,Project Coordinator,,72000,,USD,,,United States of America,California,San Francisco,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Engineering Manager,,134000,0,USD,,,United States of America,Pennsylvania,Pittsburgh,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Law,Paralegal,,35360,0,USD,,,United States of America,Virginia,Richmond,8-10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Business Administrator,,57678,200,USD,,,United States of America,Washington,Redmond,8-10 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Internal Audit Manager,,112500,16875,USD,,,United States of America,Illinois,Glenview,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Law,Administrative Law Specialist,Government in house counsel,73000,,USD,,,United States of America,Michigan,Detroit,5-7 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Research & Development,Senior Chemist,,75000,0,USD,,,United States of America,Ohio,Cleveland,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Finance Director,,46350,,USD,,,United States of America,North Carolina,Fayetteville,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Nonprofits,Librarian,Public-adult services,65000,,USD,,,United States of America,Illinois,Barrington,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,deputy managing editor,,92035,,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Man,Asian or Asian American
35-44,Computing or Tech,HRBP,Human Resource Business Partner,124000,15000,USD,,,United States of America,Georgia,Atlanta,11-20 years,2-4 years,College degree,Woman,Black or African American
25-34,Computing or Tech,Senior Cybersecurity Analyst,,120000,10000,USD,,,United States of America,Maryland,Frederick,2-4 years,2-4 years,Master's degree,Man,White
35-44,Education (Higher Education),Librarian,,645000,0,USD,,,United States of America,Florida,Orlando,11-20 years,2-4 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Vice President,Acquisitions,350000,150000,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
65 or over,Education (Primary/Secondary),Teacher 4th Grade,Private School,51000,7,USD,,The 7 is a percent of salary and is retirement.,United States of America,Alabama,Montgomery,31-40 years,31-40 years,Master's degree,Woman,White
25-34,Retail,Service Coordinator,"Combo of sales, scheduling, and production tracking",44200,50,USD,,,United States of America,California,Beverly Hills,8-10 years,5-7 years,College degree,Woman,White
45-54,Computing or Tech,Senior Manager,,170000,50000,USD,,,United States of America,Oregon,Portland,31-40 years,21-30 years,College degree,Man,White
35-44,Recruitment or HR,"Director, Human Resources",,130000,13000,USD,,,United States of America,Vermont,Burlington,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Health care,Help Desk Technician,,45000,,USD,,,United States of America,Minnesota,Eagan,8-10 years,1 year or less,College degree,Woman,White
35-44,Education (Primary/Secondary),Special Education Teacher,,53000,,USD,,,United States of America,Wisconsin,Milwaukee,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,"Middle Eastern or Northern African, White"
35-44,Health care,Assistant Professor of Pediatrics,"(academic aediatric subspecialist, non-procedural)",137700,25000,USD,,"I also make ~5000 us/year in honoraria, etc.",United States of America,Pennsylvania,Philadelphia,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Non-binary,White
35-44,Nonprofits,Family Support Coach,,51700,0,USD,,,United States of America,Oregon,Springfield,11-20 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,principle product marketing manager,"I work in product marketing for a software company, and my background is technical writing",126000,15000,USD,,,United States of America,Texas,Dallas,11-20 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Associate Director of Admissions,,75000,0,USD,,,United States of America,Massachusetts,Cambridge,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Nonprofits,Director of Web Development,manage website and publications for performing arts institution,65000,,USD,,,United States of America,New York,New York,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Government and Public Administration,Contracts Manager,,70000,,USD,,,United States of America,North Carolina,Charlotte,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Transport or Logistics,Director of supply chain,,170000,120000,USD,,,United States of America,Arkansas,Bentonville,11-20 years,11-20 years,Master's degree,Man,White
25-34,Nonprofits,Associate Director of Development,,52000,0,USD,,,United States of America,Illinois,Chicago,8-10 years,8-10 years,College degree,Woman,White
55-64,manufacturing,assembly worker,,40476,3000,USD,,,United States of America,Pennsylvania,Wilkes Barre,41 years or more,8-10 years,Some college,Man,White
35-44,Government and Public Administration,Marketing & Communications Outreach Coordinator,,62000,0,USD,,,United States of America,Texas,Denton,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Art & Design,senior graphic designer,,85000,,USD,,,United States of America,New York,New York,5-7 years,2-4 years,College degree,Woman,Asian or Asian American
45-54,Computing or Tech,Marketing Communications Manager,,78000,6000,USD,,bonus eligible,United States of America,Pennsylvania,Philadelphia,31-40 years,21-30 years,Master's degree,Woman,White
45-54,Business or Consulting,IT Director,,72000,3000,USD,,,United States of America,Wisconsin,Cumberland,31-40 years,21-30 years,College degree,Man,White
25-34,Engineering or Manufacturing,Project Engineer,"Civil Engineer, PE",72750,0,USD,,,United States of America,Illinois,Evanston,5-7 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
18-24,Art & Design,Design Associate,Interior Designer,54000,0,USD,,,United States of America,Virginia,Ashburn,2-4 years,2-4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Mechanical Engineer,,134000,,USD,,,United States of America,California,Los Angeles,5-7 years,5-7 years,PhD,Woman,Asian or Asian American
35-44,Computing or Tech,Global Manager of Sales Operations,Sales Operation and Salesforce Administrator,131300,0,USD,,,United States of America,Virginia,Richmond,8-10 years,8-10 years,Some college,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Coordinator,The team I work on is mostly concerned about sales and support our advertising clients. I haven't worked at a coordinator capacity in years.,54900,1100,USD,,Everyone gets a bonus yearly and mine because of my role is 2% of my salary others get up to 10% depending on title,United States of America,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education (Higher Education),Faculty Coordinator,,65000,0,USD,,,United States of America,Pennsylvania,Philadelphia,8-10 years,11-20 years,College degree,Woman,Black or African American
45-54,Real Estate,Senior Property Manager,,90000,9000,USD,,,United States of America,California,Sacramento,31-40 years,21-30 years,Some college,Woman,White
45-54,Computing or Tech,Sr Software Test Engineer,,101000,6000,USD,,,United States of America,Kansas,Kansas,21-30 years,11-20 years,College degree,Woman,White
45-54,Social Work,Trafficking Victim Case Manager,I assist foreign nationals who have been trafficked in the us,24000,0,USD,,I work part time,United States of America,Michigan,Detroit Area,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Insurance,Program Manager,Medicare Advantage Health Plan,85000,7000,USD,,,United States of America,Utah,Salt Lake,11-20 years,11-20 years,Some college,Woman,White
35-44,Social Work,HR Manager,,55000,400,USD,,,United States of America,Kentucky,Louisville,21-30 years,11-20 years,College degree,Woman,White
25-34,Retail,VP of Marketing and Operations,Part-time,70000,35000,USD,,,United States of America,Minnesota,St Paul,5-7 years,1 year or less,College degree,Woman,White
45-54,Law,Counsel,,174000,60000,USD,,Combination of cash bonus and deferred equity compensation,United States of America,New York,New York,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health care,Active Treatment Coordinator,I supervise master's level social workers at an inpatient hospital,65000,1000,USD,,,United States of America,Kentucky,Lexington,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Design Manager,,158000,,USD,,,United States of America,New York,Brooklyn,5-7 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Product Manager,,125000,5000,USD,,,United States of America,Texas,Dallas,8-10 years,2-4 years,Master's degree,Woman,White
35-44,Nonprofits,Front Office Associate,,41600,,USD,,,United States of America,California,Saratoga,21-30 years,8-10 years,College degree,Woman,White
45-54,Computing or Tech,Product Owner - Agile Scrum,Financial Services Software Development,146000,20000,USD,,,United States of America,Massachusetts,Boston,21-30 years,21-30 years,College degree,Man,White
35-44,Health care,Registered nurse,,61300,13100,USD,,,United States of America,Idaho,Boise,11-20 years,5-7 years,College degree,Woman,White
35-44,Art & Design,Director of Product Design & Development,,150000,50000,USD,,,United States of America,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Civil rights test coordinator,,50000,100,USD,,,United States of America,District of Columbia,DC,5-7 years,2-4 years,College degree,Woman,White
35-44,Property or Construction,Project Manager,,52000,6000,USD,,,United States of America,South Carolina,Charleston,11-20 years,5-7 years,High School,Woman,White
25-34,Law,Associate Attorney,,115000,15000,USD,,,United States of America,Minnesota,Minneapolis,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
45-54,Retail,Data Governance Analyst,,75000,0,USD,,,United States of America,Arizona,Tempe,11-20 years,2-4 years,Master's degree,Woman,White
45-54,Nonprofits,Executive Director,,92000,,USD,,,United States of America,Ohio,Cleveland,21-30 years,8-10 years,Master's degree,Man,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,R&D Engineer II,Engineer working for the government doing R&D,118392,0,USD,,,United States of America,New Mexico,Los Alamos,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Affordable Housing Real Estate Development (nonprofit),Senior Project Manager,,144200,14420,USD,,,United States of America,California,Los Angeles,11-20 years,11-20 years,Master's degree,Woman,Black or African American
25-34,Insurance,Data Analyst,,58500,0,USD,,,United States of America,Iowa,Des Moines,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Nonprofits,Development and Operations Director,,97000,,USD,,,United States of America,California,Los Angeles,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Information Architect,Technical Writing background,103000,40000,USD,,Quarterly bonuses based on company profit,United States of America,North Carolina,Raleigh,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Government and Public Administration,Financial Management Analyst,,105000,,USD,,,United States of America,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Woman,White
18-24,Engineering or Manufacturing,Energy Rater,Architectural Energy efficiency,54000,,USD,,,United States of America,New Jersey,Collingswood,2-4 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Administrative Assistant,,42000,0,USD,,,United States of America,Wisconsin,Madison,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Art & Design,Project Architect,,63000,3000,USD,,,United States of America,North Carolina,Asheville,8-10 years,8-10 years,College degree,Woman,White
35-44,Government and Public Administration,Public Library Branch Manager,,65000,,USD,,,United States of America,Ohio,Cleveland,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Property or Construction,Leasing Consultant,,31200,,USD,,,United States of America,North Carolina,Raleigh,2-4 years,1 year or less,College degree,Woman,White
25-34,Biotechnology,Research Associate 2,,66500,2000,USD,,,United States of America,Massachusetts,Cambridge,2-4 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Primary/Secondary),School Support,I advise Principals,67000,1300,USD,,,United States of America,Florida,West Palm Beach,11-20 years,11-20 years,College degree,Man,White
25-34,"Marketing, Advertising & PR",Researcher and Writer,,42000,1200,USD,,,United States of America,Louisiana,New Orleans,11-20 years,8-10 years,College degree,Woman,White
55-64,Computing or Tech,Systems Architect,"(Linux , Unix)",133151,540,USD,,,United States of America,Massachusetts,Boston Area,31-40 years,31-40 years,Master's degree,Woman,White
45-54,Government and Public Administration,Administrator,,61000,,USD,,,United States of America,Massachusetts,Boston,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Teacher,,55000,3000,USD,,,United States of America,Georgia,Atlanta,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Health care,Director of Nursing,,70000,0,USD,,,United States of America,Indiana,Greencastle,11-20 years,11-20 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR","Associate Director, Project Operations","Subject matter expert, but not a person manager",75000,0,USD,,,United States of America,Illinois,Chicago,8-10 years,8-10 years,College degree,Woman,White
25-34,Hospitality & Events,Marketing Specialist,,40040,250,USD,,,United States of America,Iowa,Cedar Rapids,5-7 years,5-7 years,College degree,Woman,White
35-44,Health care,Nurse practitioner,,148000,6000,USD,,,United States of America,New Jersey,New Jersey,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Growth Manager,,120000,,USD,,Also provided shares for the startup where I work,United States of America,Maryland,Baltimore,5-7 years,5-7 years,Master's degree,Man,White
25-34,Education (Higher Education),Assistant professor,,170000,40000,USD,,,United States of America,Pennsylvania,Philadelphia,11-20 years,11-20 years,PhD,Man,White
35-44,Nonprofits,Senior Director,Senior consultant and team lead at a firm serving nonprofits,90000,0,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,College degree,Woman,White
25-34,Health care,Speech-language pathologist,,68000,0,USD,,,United States of America,Illinois,Schaumburg,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Law,IP Assistant Clerk,IP law,37200,1000,USD,,"I get overtime too and end up earning closer to $40,000-$45000",United States of America,California,Irvine,8-10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Customer Success Manager,,93000,10000,USD,,,United States of America,New York,New York,2-4 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Assistant Director,Student Success,52000,0,USD,,,United States of America,Texas,Dallas,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Power System Engineer (Consultant),,105000,20000,USD,,,United States of America,California,Folsom,2-4 years,2-4 years,PhD,Man,White
35-44,Computing or Tech,Software Engineer,,144000,1000,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,College degree,Man,White
35-44,Nonprofits,case manager,,44200,,USD,,,United States of America,Texas,Austin,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Education (Higher Education),Registrar,,58900,0,USD,,,United States of America,New York,Albany,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Civil Engineer,,87000,7000,USD,,,United States of America,Texas,Dallas,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Technical Writer,"Solo producer, working at managerial level",102500,,USD,,,United States of America,Massachusetts,Boston,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Lead Developer,,165000,,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Man,White
25-34,Insurance,Account administrator,,55000,1500,USD,,,United States of America,Nebraska,Omaha,5-7 years,2-4 years,Some college,Woman,White
35-44,Architecture,Architectural Designer,(Not licensed),58000,3500,USD,,,United States of America,Indiana,South Bend,21-30 years,21-30 years,College degree,Man,Black or African American
45-54,Property or Construction,IT & Accounting Manager,I'm the Accounting Manager for a division of the company and I'm the IT Manager for the whole company which includes analytics and report writing.,85000,2500,USD,,,United States of America,Texas,San Antonio,21-30 years,21-30 years,Some college,Woman,White
25-34,Computing or Tech,Software Engineer,,185000,112000,USD,,,United States of America,New York,New York,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
35-44,Engineering or Manufacturing,QC Chemistry Manager,,117000,17550,USD,,,United States of America,Minnesota,Chaska,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Email Marketing Manager,,77500,,USD,,,United States of America,Maryland,Gaithersburg,8-10 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Quarantine Care Team Coordinator,"I work for a university housing department to assign students to apartments for their quarantine or isolation period. I oversee meal delivery and act as the point of contact for students, the larger housing department, and our on-campus health center.",40000,,USD,,I am provided with a two-bedroom apartment including utilities and an on-campus meal plan.,United States of America,Kansas,Manhattan,2-4 years,2-4 years,Master's degree,Woman,White
45-54,Health care,RN,Home health nurse,55000,2000,USD,,,United States of America,Idaho,Idaho Falls,21-30 years,21-30 years,College degree,Woman,White
35-44,Library--public,Children's Services Coordinator,"I oversee programming, resources, and services for children ages 0-11 in a 20 branch public library system.",81916,0,USD,,,United States of America,North Carolina,Charlotte,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Vice President,,140000,30000,USD,,Highly variable based on new business brought in but 20% bonus is independent of sales and consistent,United States of America,New York,New York,5-7 years,5-7 years,College degree,Woman,White
